tagname,body
"bash","The Bourne-again shell (Bash) is a Bourne shell (sh) implementation with numerous additions. Bash is the default shell in many Linux distributions, and on Mac OS X."
"hibernate","Hibernate is an object-relational mapping (ORM) library for the Java language enabling developers to utilize POJO-style domain models in their applications in ways extending well beyond Object/Relational Mapping."
"actionscript-3","ActionScript 3 (AS3) is the open source object oriented programming (OOP) language of the Adobe Flash and AIR Platforms.  AS3 is widely used for RIAs, mobile apps, and desktop applications. (ActionScript 3 is a dialect of ECMAScript.)"
"ipad","iPad is a tablet computer designed by Apple running the iOS operating system. iPad applications are usually written in Objective-C in the Xcode IDE, although it is also possible to use other tools to build iPad applications. Questions that are not dependent on hardware should use the iOS tag instead."
"matlab","MATLAB is a high-level language and interactive programming environment for numerical computation and visualization developed by MathWorks. "
"qt","Qt is a cross-platform application development framework widely used for the development of GUI programs."
"cocoa-touch","The Cocoa Touch frameworks that drive iOS apps share many proven patterns found on the Mac, but were built with a special focus on touch-based interfaces and optimization."
"cocoa","Cocoa is Apple's application-development framework for OS X, consisting of Foundation, Application Kit, and Core Data. Use the ""cocoa-touch"" tag for iOS questions."
"list","list may refer to: a linked list (an ordered set of nodes, each referencing its successor), or a form of dynamic array. Not to be used for HTML lists, use [html-lists] instead."
"file","A block of arbitrary information, or resource for storing information, accessible by the string-based name or path. Files are available to computer programs and are usually based on some kind of persistent storage."
"sqlite","SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine."
"flash","For questions on Adobe's cross-platform multimedia runtime used to embed animations, video, and interactive applications into web pages. For questions related to memory, use the tag [flash-memory]."
".htaccess","Directory-level configuration file used by Apache web servers. "
"api","API stands for Application Programming Interface.  A program's API defines the proper way for a developer to request services from that program."
"jquery-ui","jQuery UI is the official jQuery user interface library. It provides interactions, widgets, effects, and theming for creating highly interactive web applications."
"function","A function (also called a procedure, method, subroutine, or routine) is a portion of code intended to carry out a single, specific task."
"codeigniter","CodeIgniter is an open-source PHP web development framework created by EllisLab Inc. The framework implements a modified version of the Model-View-Controller design pattern. Use this tag for questions about CodeIgniter classes, methods, functions, syntax and use."
"angularjs","AngularJS is an open-source JavaScript framework. Its goal is to augment browser-based applications with Model–View–Controller (MVC) capability and reduce the amount of JavaScript needed to make web applications functional. These type of apps are also known as Single-Page Applications."
"mongodb","MongoDB is a scalable, high-performance, open source, document-oriented database.  It supports a large number of languages and application development platforms. Questions about administrating it can be asked on dba.stackexchange.com "
"silverlight","Silverlight is Microsoft's cross-browser, cross platform plug-in for media experiences and rich interactive applications."
"class","A template for creating new objects that describes the common state(s) and behavior(s)."
"tsql","T-SQL (Transact Structured Query Language) is the extension of SQL functionality supported by Sybase ASE and Microsoft SQL Server."
"delphi","Delphi is a language for rapid development of native Windows, OS X, iOS, and Android applications through use of Object Oriented Pascal. The name refers to the Delphi language (a modern evolution of Object Pascal) as well as its IDE, which is used to help edit and debug Delphi projects."
"css3","The third edition of the Cascading Style Sheets styling language (often shortened to CSS3) brings together powerful visual capabilities and versatile design manipulation techniques."
"security","This tag is used for topics relating to application security and attacks against software.
If your question is not about a specific programming problem, please consider asking it at security.stackexchange.com instead.
"
"google-maps","The Google Maps family of APIs lets you embed the functionality of Google Maps into your own website and applications."
"internet-explorer","Internet Explorer (commonly abbreviated to IE or MSIE) is a web browser developed by Microsoft and is included as part of Microsoft Windows."
"jsp","JSP (Java Server Pages) is a server side technology used for presentation layer for the web applications. "
"vba","Visual Basic for Applications (VBA) is an event-driven, object-oriented programming language for writing macros, used for the entire Office suite. If your question is specifically about programming Excel, Access, Word or Outlook, use the appropriate tag: excel-vba, access-vba, word-vba or outlook-vba."
"postgresql","PostgreSQL is an open-source, object-relational database management system (ORDBMS) available for many platforms including Linux, UNIX, MS Windows and Mac OS X.

Please mention your PostgreSQL version when asking questions."
"shell","The term 'shell' refers to a general class of text-based command interpreters most often associated with the Unix & Linux operating systems.  "
"google-app-engine","Google App Engine is a cloud computing technology for hosting web applications in Google-managed data centers. Google App Engine is a Platform as a Service (PaaS) offering for Java, Python, Go (experimental) and PHP (beta).
"
"oop","Object-oriented programming is a programming paradigm using ""objects"": data structures consisting of data fields and methods together with their interactions. "
"validation","Validation is used to check data to make sure it fits whatever required specifications are set for it."
"sockets","An endpoint of a bidirectional inter-process communication flow. This often refers to a process flow over a network connection, but by no means is limited to such."
"unit-testing","Unit testing is a method by which individual units of source code, sets of one or more computer program modules together with associated control data, usage procedures, and operating procedures, are tested to determine if they are fit for use.
"
"scala","Scala is a general purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both imperative and functional programming styles. Its key features are:
advanced static type system with type inference;
function types; pattern-matching; implicit parameters and conversions; operator overloading; full interoperability with Java; concurrency"
"xaml","Extensible Application Markup Language (XAML) is an XML language used for defining user interfaces in WPF, Silverlight, Windows Phone and Windows Store apps."
"flex","Flex is a framework for developing Rich Internet Applications that run in Flash Player or Adobe Air; for the lexical analyzer *flex* use the tag flex-lexer instead."
"parsing","Parsing refers to breaking an artifact into its constituent elements and capturing the relationship between those elements. This tag isn't for questions about the hosted service Parse.com (use [parse.com]) or PHP ""parse errors"" (use [php])."
"http","Hypertext Transfer Protocol (HTTP) is an application level network protocol that is used for the transfer of content on the World Wide Web."
"asp.net-mvc-4","ASP.NET MVC 4 is the fourth major version of the ASP.NET Model-View-Controller platform for web applications."
"debugging","Debugging is a methodical process of finding and reducing the number of bugs, or defects, in a computer program."
"magento","Magento is an e-commerce platform written in PHP atop the Zend framework, available under both open-source and commercial licenses."
"google-chrome","Google Chrome is a web browser available on mobile, TV, and desktop platforms. Developed by Google, it uses the Blink layout engine and application framework."
"email","Method of exchanging digital messages from an author to one or more recipients."
"android-layout","A layout defines the visual structure for a user interface, such as the UI for an activity or app widget. "
"uitableview","UITableView is a class used for displaying and editing hierarchical lists on iOS."
"rest","REST (Representational State Transfer) is a style of software architecture for distributed hypermedia systems such as the World Wide Web. It has increased in popularity relative to RPC architectures such as SOAP due to the intrinsic de-coupling of client from server that comes from having a uniform interface between heterogeneous systems."
"twitter-bootstrap","Bootstrap is a front-end framework from Twitter designed to kick-start development of webapps and sites. Tag `twitter-bootstrap` and NOT ""bootstrap"" to ask a question about this framework."
"maven","Apache Maven is a software project management and comprehension tool. This tag is for questions that don't relate to a specific maven version."
"jsf","JavaServer Faces (JSF) is a model-view-presenter framework typically used to create web applications.

Using the standard components and render kit, stateful HTML views can be defined using JSP or Facelets tags and wired to model data and application logic.
"
"winapi","The Win32 API is the core set of application programming interfaces (APIs) available in the Microsoft Windows operating systems. This tag is for questions about developing native Windows applications using the Win32 API.  "
"windows-phone-7","Windows Phone is Microsoft's mobile operating system and software development platform. Use this tag for questions specific to Version 7.x

"
"listview","A ListView is a graphical screen control or widget provided by UI libraries in majority of modern operating systems."
"templates","The templates tag is used in multiple contexts: generic programming (especially C++), and data/document generation using template engines.
"
"sorting","Sorting is the process of applying some order to a collection of items."
"jquery-ajax","jQuery JavaScript Library suite for AJAX requests. A full set of functions that allows user agents to load data from the server using asynchronous HTTP requests, without requiring a browser page refresh. "
"date","A date is a position on a calendar, which usually refers to a day, month and year."
"variables","A variable is a named data storage location in memory. Using variables, a computer program can store numbers, text, binary data, or a combination of any of these data types. They can be passed around in code, to other functions and even other applications."
"session","A session refers to all the requests that a single client makes to a server. A session is specific to the user and for each user a new session is created to track all the request from that user. "
"events","An event is a way for a class to provide notifications to clients of that class when some interesting thing happens to an object"
"url","A Uniform Resource Locator (URL) is a Uniform Resource Identifier (URI) that specifies where an identified resource is available and the mechanism for retrieving it."
"facebook-graph-api","Facebook Graph API is a graph-db style programming interface for languages like PHP, Perl, ActionScript, JavaScript etc. "
"svn","Subversion is a centralized open-source revision control system, founded by CollabNet Inc. and maintained by The Apache Software Foundation."
"loops","Loops are a type of control flow structure in programming in which a series of statements may be executed repeatedly until some condition is met."
"unix","The Unix operating system is a general purpose OS that was developed by Bell Labs in the late 1960s and today exists in various versions. It is known for its large collection of simple command-line utilities which allow powerful file handling and text processing capabilities to be implemented via shell scripts."
"c#-4.0","C# 4.0 introduced features like dynamic objects, COM interoperability improvements, generic co- and contra-variance, optional and named parameters. Use this tag if your question specifically pertains to C# 4.0 specific features. The C# tag should be used if your question is not specific to C# 4.0 features."
"table","This tag is ambiguous. Consider using other tags instead. Read the tag wiki for more information"
"cakephp","CakePHP is a rapid development framework for PHP that provides an extensible architecture for developing, maintaining, and deploying applications. It uses commonly known design patterns like MVC and ORM within the convention over configuration paradigm."
"firefox","A free, open source and cross-platform web browser created by Mozilla."
"symfony2","Symfony2 is an open source PHP web development framework for PHP 5.3.3+ focusing on easy and fast development cycles and including state-of-the-art design patterns and programming philosophies."
"ms-access","Microsoft Access, also known as Microsoft Office Access, is a database management system from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools.

"
"java-ee","Java Enterprise Edition (Java EE) is a specification defining a collection of Java-based technologies and how they interoperate. Java EE specifies server and client architectures and uses profiles to define technology sets targeted at specific classes of applications."
"zend-framework","Zend Framework is an open source, object-oriented web application framework implemented in PHP 5 and licensed under the New BSD License."
"exception","An exception is a rarely occurring (exceptional!) condition that requires deviation from the program's normal flow. Normally, an exception should not result in total failure, but instead be attended by an exception handler. Exception handling is a built-in construct in many programming languages. Usually, exceptions are handled by unwinding the stack, thus rolling back to a defined state outside the exception's scope, and then invoking a handler routine."
"jquery-mobile","jQuery Mobile is a touch-optimized web framework for smartphones and tablets. It provides a unified user interface system across all popular mobile device platforms, built on jQuery."
"datetime","A DateTime object in many programming languages describes a date and a time of day.  It can express either an instant in time or a position on a calendar, depending on the context in which it is used and the specific implementation.  This tag can be used for all date and time related issues."
"visual-c++","Microsoft Visual C++ is a C and C++ compiler for Windows. The most recent version of the compiler is Visual C++ 2013, which is available in both commercial editions and in a free Express Edition.

The compiler supports the following languages:


C: Only the C90 standard is supported; there is very limited C99 support
C++: Also includes support for several major C++11 features as of Visual Studio 2010
C++/CLI and .NET Managed Extensions for C++"
"tomcat","Apache Tomcat is an open source Servlet Container and is developed by the Apache Software Foundation (ASF)."
"sql-server-2005","For questions specific to the 2005 version of Microsoft's SQL Server."
"object","An object is any entity that can be manipulated by commands in a programming language. An object can be a value, a variable, a function, or a complex data-structure. In object-oriented programming, an object refers to an instance of a class."
"pointers","A pointer is a data type that ""points to"" another value stored in memory using its address."
"dom","Use this tag on questions regarding the interaction of other languages with XML/HTML via the document object model. Do not use it as shorthand for HTML, JavaScript, or SAX—use additional tags to denote both language and markup.
"
"opengl","OpenGL is a graphics standard and API which is platform independent and available for desktop, workstation and mobile devices. It is designed to be easy to accelerate with dedicated computer hardware, and hence most implementations give greatly improved performance over traditional software rendering.
OpenGL is used for applications like CAD software and computer games. The OpenGL standard, as well as OpenGL ES, is controlled by the Khronos group.
"
"xslt","XSLT is a transformation language for XML designed to transform structured documents into other formats (such as XML, HTML, and plain text). Questions should use one of the xslt-1.0, xslt-2.0, or xslt-3.0 tags as appropriate."
"search","Use this tag for questions about search algorithms, tools, and technologies."
"authentication","Authentication is the process of determining whether someone or something is, in fact, who or what it is declared to be."
"opencv","OpenCV (Open Source Computer Vision) is a cross-platform library of programming functions for real time computer vision. It was officially launched by Intel in 1999 and is now supported by Itseez.

Uses include: Human-Computer Interaction; Object Identification, Segmentation and Recognition; Face Recognition; Gesture Recognition; Motion Tracking, Motion Understanding; Stereo and Multi-Camera Calibration and Depth Computation; Mobile Robotics. "
"generics","Generics are a form of parametric polymorphism found in a range of languages, including .NET languages and in Java. "
"spring-mvc","Based on the Model-View-Controller (MVC) pattern, Spring MVC helps you build web-based applications that are flexible and decoupled from the underlying view technologies."
"python-2.7","In the 2.x series of the Python programming language, 2.7 is the latest, and last, major release. "
"caching","A cache is a mechanism for temporarily storing (caching) documents or data, to reduce access time."
"math","Mathematics is the study of quantity, structure, space, and change.  Any math questions on this site should be programming related."
"sharepoint","For SharePoint-specific questions, please see the SharePoint Stack Exchange (http://sharepoint.stackexchange.com) site. Use this tag for programming questions which may involve SharePoint.
Microsoft SharePoint is a platform and a family of software products developed by Microsoft for collaboration and web publishing."
"gwt","GWT (formerly the Google Web Toolkit) is a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web applications without requiring the developer to be an expert in browser quirks, XMLHttpRequest, and JavaScript. GWT is used by many products at Google, including the new versions of AdWords and Groups. It's open source and completely free (Apache 2.0 licensed)."
"iis","Internet Information Services (IIS) is a web server created by Microsoft for use with Microsoft Windows. Please mention which version of IIS you're running either in your question or by adding a version specific tag."
"servlets","Servlets are programs that run on a Web or Application server and act as a middle layer between a request coming from a Web browser or other HTTP client and databases or applications on the HTTP server."
"pdf","Portable Document Format (PDF) is an open standard for electronic document exchange maintained by the International Organization for Standardization (ISO). Questions can be about creating, reading, editing PDFs using different languages."
"animation","Animation is the rapid display of a sequence of visuals in order to create an illusion of movement or change."
"nhibernate","NHibernate is a mature, open source object-relational mapper (ORM) for the .NET framework.
"
"mod-rewrite","URL rewriting module for the Apache web server. It is commonly used for so-called ""pretty"" URLs, but also provides the power and flexibility to perform various request handling tasks beyond simple substitutions."
"div","The HTML div element infers no special meaning. It is a semantically neutral element that is often used to group content for formatting with styles, and for content which cannot be semantically described with any other element."
"select","Select is a common keyword used to query data. 'select()' is also a programming function for triggering code based on file handle or other system activity. Not to be confused with the HTML tag `<select>`."
"batch-file","Script files containing a series of commands that are executed by the Windows command-line interpreter."
"grails","Grails is a web application framework that uses Groovy and Java. The framework is oriented around high-productivity application development, and uses common Java technologies such as Hibernate and Spring."
"networking","A computer network allows sharing of resources and information among interconnected devices which use a common hierarchy of protocols to communicate."
"design-patterns","A design pattern is a general reusable solution to a commonly occurring problem in Software Design."
"haskell","Haskell is an advanced functional programming language, featuring strong static typing, lazy evaluation, extensive parallelism and concurrency support, and unique abstraction capabilities."
"powershell","PowerShell is a command prompt and a scripting environment designed for automating all Windows tasks, including system administration. It is ideally suited to automating tasks and leveraging all the power of the .net libraries."
"visual-studio-2008","This tag refers to the Visual Studio line of software development products from Microsoft, the 2008 version."
"button","This tag is for questions about buttons, which are simple elements in graphical user interfaces that take mouse clicks or finger taps (on mobile devices) as input."
"redirect","A response by a webserver, that asks the user agent to not show the response body, but instead request a different resource."
"visual-studio-2012","Visual Studio 2012 is the version of Microsoft's Visual Studio product line which follows Visual Studio 2010."
"testing","Software testing is any activity aimed at evaluating an attribute or capability of a program or system and determining that it meets its required results."
"ubuntu","Ubuntu is a free desktop and server operating system based on Debian GNU/Linux. Note that http://askubuntu.com is specifically dedicated to Ubuntu questions."
"excel-vba","VBA (Visual Basic for Applications) is the dominant programming language for Microsoft Office Applications [Word, Excel, Access...]. "
"post","POST is one of the HTTP protocol methods; it is used when the client needs to send data to the server, such as when uploading a file, or submitting a completed form."
"inheritance","Inheritance is the system in object oriented programming that allows objects to support operations defined by anterior types without having to provide their own definition. It is the major vector for polymorphism in object-oriented programming."
"core-data","Core Data is Apple's object-persistence framework for Cocoa and Cocoa Touch for managing model objects of a MVC (model-view-controller) design."
"jpa","The Java Persistence Architecture API (JPA) is a Java specification for accessing, persisting, and managing data between Java objects/classes and a relational database. It is part of the EJB 3.0 specification and is the industry standard approach for Object to Relational Mapping (ORM).

"
"csv","Comma-Separated Values (CSV) are a list of plain text values delimited by commas, or a file containing one or more lists in that format."
"memory","This tag is for memory issues in programming.  For installing memory, etc. see ServerFault.com or SuperUser.com"
"design","Design in programming is the act of making particular choices about how best to structure a program, to achieve goals of reliability, maintainability, correctness or ease of use."
"mobile","The tag Mobile should be used to mark questions regarding mobile computing issues. Mobile computing is a form of human–computer interaction by which a computer is expected to be transported during normal usage. "
"audio","Programming audio hardware, and the various audio formats or containers."
"user-interface","The system through which people interact with a computer. UI stands for User Interface.

There's now a Stack Exchange site for UI, Interaction and User Experience design: ux.stackexchange.com
"
"gcc","GCC is the GNU Compiler Collection. It's the de facto standard C compiler on Linux and supports many other languages and platforms as well."
"drupal","Drupal is an open source CMS framework written in PHP. Consider posting your question directly on http://drupal.stackexchange.com/ instead of using this tag."
"iframe","An 'iframe' is an HTML element that creates an ""inline frame"" within a document, which allows displaying a separate document in the same page."
"backbone.js","Backbone.js is a JavaScript library that provides structure to RESTful web applications."
"layout","The layout tag is for questions about the placement, alignment and justification of objects with respect to a containing element."
"gridview","A Gridview is a control for displaying and manipulating data from a variety of data sources."
"activerecord","Active Record is a pattern that combines domain logic with storage abstraction in single object."
"optimization","Optimization is the act of improving a method or design. In programming, optimization usually takes the form of increasing the speed of an algorithm, or reducing the resources it requires."
"extjs","Sencha Ext JS is a JavaScript framework for building Rich Internet Applications (RIAs) that run in web browsers."
"stored-procedures","A subroutine available to applications accessing a relational database system."
"video","Questions with the video tag should refer to creating, editing, and displaying video on electronic devices. "
"web-applications","Web applications are applications that are accessed over the ""web"", which can be over Internet, or Intranet i.e. an internal network"
"database-design","Database design is the process of specifying the logical and/or physical parts of a database. The goal of database design is to make a representation of some ""universe of discourse"" - the types of facts, business rules and other requirements that the database is intended to model."
"logging","Computer data logging is the process of recording events in a computer program, usually with a certain scope, in order to provide an audit trail that can be used to understand the activity of the system and to diagnose problems."
"join","A join is a general operation in relational algebra for a combining operation on two or more relations in a relational database system. `JOIN` is also keyword of the SQL language for performing a join operation."
"image-processing","Anything related to digital image processing, i.e. the theory and the techniques used to extract or manipulate information from digital images.
"
"android-intent","Questions regarding practical and advanced use of Intents, Intent Extras and Pending Intents to start an Activity, Service or to respond to a system or application event/notification via a BroadcastReceiver. (refer to info for basic familiarity)"
"vim","Vim is a free and open-source modal text editor available for most major platforms. It allows high efficiency in many text editing tasks but has a steep learning curve. To learn the basics, try "":help vimtutor""."
"razor","Razor is a template language used by ASP.NET Web Pages and ASP.NET MVC (since version 3). It supports seamless transitions between HTML markup and C# or VB code. Transitions between markup and code are indicated by the ""@"" sign."
"serialization","Serialization is the process by which data-structures are converted into a format that can be easily stored or transmitted and subsequently reconstructed at a later date."
"if-statement","An ""if"" statement is a control structure in many programming languages that changes the execution flow depending on a condition."
"mvc","Model–View–Controller (MVC) is an architectural pattern used in software engineering. For Microsoft ASP.NET MVC, please use [asp.net-mvc] tag instead. For Spring MVC, please use [spring-mvc] tag instead."
"memory-management","Memory management is the act of managing computer memory. The essential requirement of memory management is to provide ways to dynamically allocate portions of memory to programs at their request, and freeing it for reuse when no longer needed. This is critical to the computer system."
"azure","Windows Azure is a Platform as a Service (PaaS) and Infrastructure as a Service (IaaS) cloud computing platform by Microsoft. Users of the platform can deploy their applications onto cloud hosting benefiting from on-demand service, elastic scale, and a highly managed environment on a pay-as-you-go basis."
"cookies","An HTTP cookie is a piece of data stored by the user's web browser. Unless otherwise specified, cookies can be created, read, modified and deleted both by JavaScript and from server-side through HTTP headers."
"file-upload","File upload is the process of sending files to your web server using standard forms."
